Time (UT), 	 6-12 keV, 	 12-25 keV, 	 25-50 keV, 	 50-100 keV, 	 Attenuator State, 	 Eclipse State 
2013-08-30T02:12:52.000,	24.27,	14.88,	16.59,	29.59,	0.0,	0.0
2013-08-30T02:12:56.000,	26.64,	15.72,	16.67,	27.55,	0.0,	0.0
2013-08-30T02:13:00.000,	28.22,	15.6,	16.3,	28.55,	0.0,	0.0
2013-08-30T02:13:04.000,	24.27,	15.8,	16.07,	28.54,	0.0,	0.0
2013-08-30T02:13:08.000,	25.63,	15.81,	15.76,	29.14,	0.0,	0.0
2013-08-30T02:13:12.000,	25.22,	15.89,	15.48,	29.53,	0.0,	0.0
2013-08-30T02:13:16.000,	25.69,	15.93,	15.19,	30.02,	0.0,	0.0
2013-08-30T02:13:20.000,	26.38,	15.94,	14.9,	30.42,	0.0,	0.0
2013-08-30T02:13:24.000,	26.64,	16.01,	14.59,	31.01,	0.0,	0.0
2013-08-30T02:13:28.000,	28.22,	15.91,	14.36,	31.01,	0.0,	0.0
2013-08-30T02:13:32.000,	28.22,	16.1,	14.0,	32.0,	0.0,	0.0
2013-08-30T02:13:36.000,	26.64,	15.4,	14.0,	30.0,	0.0,	0.0
2013-08-30T02:13:40.000,	29.79,	16.8,	14.0,	32.0,	0.0,	0.0
2013-08-30T02:13:44.000,	28.22,	16.1,	12.44,	32.0,	0.0,	0.0
2013-08-30T02:13:48.000,	29.79,	16.8,	14.0,	32.0,	0.0,	0.0
2013-08-30T02:13:52.000,	28.22,	16.1,	14.0,	32.0,	0.0,	0.0
2013-08-30T02:13:56.000,	29.79,	16.1,	14.0,	30.0,	0.0,	0.0
2013-08-30T02:14:00.000,	31.37,	17.5,	14.0,	28.0,	0.0,	0.0
2013-08-30T02:14:04.000,	31.37,	17.5,	14.0,	28.0,	0.0,	0.0
2013-08-30T02:14:08.000,	31.37,	18.2,	14.0,	30.0,	0.0,	0.0
2013-08-30T02:14:12.000,	31.37,	17.5,	12.44,	30.0,	0.0,	0.0
2013-08-30T02:14:16.000,	29.79,	16.8,	14.0,	32.0,	0.0,	0.0
2013-08-30T02:14:20.000,	31.37,	18.9,	12.44,	30.0,	0.0,	0.0
2013-08-30T02:14:24.000,	32.95,	19.6,	14.0,	30.0,	0.0,	0.0
2013-08-30T02:14:28.000,	34.53,	21.0,	14.0,	30.0,	0.0,	0.0
2013-08-30T02:14:32.000,	32.95,	21.0,	14.0,	28.0,	0.0,	0.0
2013-08-30T02:14:36.000,	34.53,	21.0,	12.44,	30.0,	0.0,	0.0
2013-08-30T02:14:40.000,	34.53,	22.4,	14.0,	32.0,	0.0,	0.0
2013-08-30T02:14:44.000,	34.53,	21.0,	12.44,	28.0,	0.0,	0.0
2013-08-30T02:14:48.000,	37.69,	23.8,	14.0,	28.0,	0.0,	0.0
2013-08-30T02:14:52.000,	39.26,	26.6,	14.0,	30.0,	0.0,	0.0
2013-08-30T02:14:56.000,	37.69,	25.2,	12.44,	30.0,	0.0,	0.0
2013-08-30T02:15:00.000,	42.42,	26.6,	14.0,	28.0,	0.0,	0.0
2013-08-30T02:15:04.000,	39.26,	25.2,	14.0,	30.0,	0.0,	0.0
2013-08-30T02:15:08.000,	40.84,	26.6,	14.0,	30.0,	0.0,	0.0
2013-08-30T02:15:12.000,	42.42,	26.6,	14.0,	30.0,	0.0,	0.0
