Time (UT), 	 6-12 keV, 	 12-25 keV, 	 25-50 keV, 	 50-100 keV, 	 Attenuator State, 	 Eclipse State 
2014-04-18T13:08:08.000,	1328.0,	466.67,	14.18,	16.0,	1.0,	0.0
2014-04-18T13:08:12.000,	1328.0,	466.67,	15.36,	19.56,	1.0,	0.0
2014-04-18T13:08:16.000,	1264.0,	450.0,	14.18,	16.0,	1.0,	0.0
2014-04-18T13:08:20.000,	1392.0,	500.0,	16.55,	17.78,	1.0,	0.0
2014-04-18T13:08:24.000,	1328.0,	466.67,	15.36,	17.78,	1.0,	0.0
2014-04-18T13:08:28.000,	1264.0,	450.0,	15.36,	16.0,	1.0,	0.0
2014-04-18T13:08:32.000,	1392.0,	483.33,	15.36,	17.78,	1.0,	0.0
2014-04-18T13:08:36.000,	1328.0,	450.0,	14.18,	16.0,	1.0,	0.0
2014-04-18T13:08:40.000,	1264.0,	466.67,	13.0,	16.0,	1.0,	0.0
2014-04-18T13:08:44.000,	1392.0,	483.33,	15.36,	16.0,	1.0,	0.0
2014-04-18T13:08:48.000,	1456.0,	500.0,	15.36,	17.78,	1.0,	0.0
2014-04-18T13:08:52.000,	1392.0,	466.67,	15.36,	17.78,	1.0,	0.0
2014-04-18T13:08:56.000,	1328.0,	450.0,	15.36,	16.0,	1.0,	0.0
2014-04-18T13:09:00.000,	1200.0,	416.67,	10.64,	14.22,	1.0,	0.0
2014-04-18T13:09:04.000,	1200.0,	416.67,	15.36,	14.22,	1.0,	0.0
2014-04-18T13:09:08.000,	1200.0,	416.67,	14.18,	16.0,	1.0,	0.0
2014-04-18T13:09:12.000,	1200.0,	416.67,	11.82,	14.22,	1.0,	0.0
2014-04-18T13:09:16.000,	1264.0,	416.67,	14.18,	14.22,	1.0,	0.0
2014-04-18T13:09:20.000,	1264.0,	412.31,	13.68,	14.33,	1.0,	0.0
2014-04-18T13:09:24.000,	1200.0,	409.41,	14.14,	14.4,	1.0,	0.0
2014-04-18T13:09:28.000,	1212.8,	405.63,	14.03,	14.48,	1.0,	0.0
2014-04-18T13:09:32.000,	1200.0,	402.15,	14.1,	14.57,	1.0,	0.0
2014-04-18T13:09:36.000,	1200.0,	398.52,	14.08,	14.65,	1.0,	0.0
2014-04-18T13:09:40.000,	1212.8,	394.39,	13.98,	14.74,	1.0,	0.0
2014-04-18T13:09:44.000,	1200.0,	391.26,	14.04,	14.83,	1.0,	0.0
2014-04-18T13:09:48.000,	1264.0,	385.16,	13.62,	14.9,	1.0,	0.0
2014-04-18T13:09:52.000,	1200.0,	384.0,	14.0,	15.0,	1.0,	0.0
