Time (UT), 	 6-12 keV, 	 12-25 keV, 	 25-50 keV, 	 50-100 keV, 	 Attenuator State, 	 Eclipse State 
2011-02-15T01:33:28.000,	21.62,	10.4,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:33:32.000,	22.65,	10.4,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:33:36.000,	25.74,	10.4,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:33:40.000,	24.71,	8.8,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:33:44.000,	24.71,	11.2,	18.46,	42.0,	0.0,	0.0
2011-02-15T01:33:48.000,	25.74,	11.2,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:33:52.000,	22.65,	8.8,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:33:56.000,	21.62,	8.0,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:34:00.000,	22.65,	8.8,	14.77,	45.82,	0.0,	0.0
2011-02-15T01:34:04.000,	19.56,	8.8,	18.46,	43.91,	0.0,	0.0
2011-02-15T01:34:08.000,	19.56,	8.0,	18.46,	49.64,	0.0,	0.0
2011-02-15T01:34:12.000,	18.53,	8.0,	18.46,	43.91,	0.0,	0.0
2011-02-15T01:34:16.000,	21.62,	8.0,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:34:20.000,	19.56,	7.2,	18.46,	43.91,	0.0,	0.0
2011-02-15T01:34:24.000,	19.56,	8.0,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:34:28.000,	18.53,	7.2,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:34:32.000,	18.53,	8.0,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:34:36.000,	18.53,	8.0,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:34:40.000,	18.53,	8.0,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:34:44.000,	17.5,	8.8,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:34:48.000,	16.47,	7.2,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:34:52.000,	17.5,	8.0,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:34:56.000,	18.53,	8.0,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:35:00.000,	17.5,	7.2,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:35:04.000,	15.44,	8.0,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:35:08.000,	16.47,	8.0,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:35:12.000,	16.47,	7.2,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:35:16.000,	15.44,	7.2,	14.77,	45.82,	0.0,	0.0
2011-02-15T01:35:20.000,	15.44,	7.2,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:35:24.000,	15.44,	7.2,	16.62,	49.64,	0.0,	0.0
2011-02-15T01:35:28.000,	16.47,	7.2,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:35:32.000,	14.41,	6.4,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:35:36.000,	13.38,	7.2,	18.46,	49.64,	0.0,	0.0
2011-02-15T01:35:40.000,	13.9,	7.2,	18.46,	49.64,	0.0,	0.0
2011-02-15T01:35:44.000,	12.87,	6.4,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:35:48.000,	13.9,	6.4,	14.77,	43.91,	0.0,	0.0
2011-02-15T01:35:52.000,	12.87,	6.4,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:35:56.000,	12.87,	8.0,	20.31,	45.82,	0.0,	0.0
2011-02-15T01:36:00.000,	12.87,	7.2,	18.46,	43.91,	0.0,	0.0
2011-02-15T01:36:04.000,	12.87,	6.0,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:36:08.000,	11.84,	6.4,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:36:12.000,	12.35,	6.4,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:36:16.000,	11.84,	6.4,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:36:20.000,	11.32,	6.4,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:36:24.000,	11.32,	6.4,	18.46,	43.91,	0.0,	0.0
2011-02-15T01:36:28.000,	11.32,	6.4,	16.62,	49.64,	0.0,	0.0
2011-02-15T01:36:32.000,	12.87,	6.4,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:36:36.000,	11.84,	6.4,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:36:40.000,	11.32,	6.0,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:36:44.000,	11.32,	7.2,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:36:48.000,	11.84,	6.4,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:36:52.000,	11.84,	6.4,	18.46,	49.64,	0.0,	0.0
2011-02-15T01:36:56.000,	11.84,	6.0,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:37:00.000,	12.35,	7.2,	18.46,	49.64,	0.0,	0.0
2011-02-15T01:37:04.000,	11.84,	7.2,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:37:08.000,	11.32,	7.2,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:37:12.000,	12.87,	6.4,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:37:16.000,	12.87,	6.4,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:37:20.000,	12.87,	6.4,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:37:24.000,	12.35,	6.4,	16.62,	49.64,	0.0,	0.0
2011-02-15T01:37:28.000,	12.87,	6.4,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:37:32.000,	12.87,	6.4,	16.62,	49.64,	0.0,	0.0
2011-02-15T01:37:36.000,	12.87,	6.4,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:37:40.000,	13.9,	7.2,	18.46,	49.64,	0.0,	0.0
2011-02-15T01:37:44.000,	13.38,	6.4,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:37:48.000,	12.87,	6.4,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:37:52.000,	14.41,	7.2,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:37:56.000,	14.93,	7.2,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:38:00.000,	15.44,	7.2,	18.46,	43.91,	0.0,	0.0
2011-02-15T01:38:04.000,	14.93,	7.2,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:38:08.000,	15.44,	7.2,	18.46,	45.82,	0.0,	0.0
